text,word_count
"Waste of money, I'm really disappointed.",6
"The product was okay, but not worth the price.",9
"Great product, I loved using it every day!",8
"Best purchase ever, exceeded my expectations.",6
"Not as good as I expected, it has some issues.",10
"Waste of money, I'm really disappointed.",6
"Great product, I loved using it every day!",8
"Fantastic quality, I would definitely recommend this!",7
"Waste of money, I'm really disappointed.",6
"Excellent features, perfect for daily use.",6
"Excellent features, perfect for daily use.",6
"Fantastic quality, I would definitely recommend this!",7
"Very useful and works as expected, highly satisfied.",8
Decent product but could be better.,6
"Best purchase ever, exceeded my expectations.",6
"The product was okay, but not worth the price.",9
Decent product but could be better.,6
"Very useful and works as expected, highly satisfied.",8
"The product was okay, but not worth the price.",9
"Fantastic quality, I would definitely recommend this!",7
"Best purchase ever, exceeded my expectations.",6
"Very useful and works as expected, highly satisfied.",8
"The product was okay, but not worth the price.",9
Decent product but could be better.,6
"Great product, I loved using it every day!",8
"Excellent features, perfect for daily use.",6
"Very useful and works as expected, highly satisfied.",8
"Very useful and works as expected, highly satisfied.",8
"Fantastic quality, I would definitely recommend this!",7
"Best purchase ever, exceeded my expectations.",6
"Very useful and works as expected, highly satisfied.",8
"Great product, I loved using it every day!",8
"Best purchase ever, exceeded my expectations.",6
"Excellent features, perfect for daily use.",6
"Fantastic quality, I would definitely recommend this!",7
"Not as good as I expected, it has some issues.",10
"The product was okay, but not worth the price.",9
"Waste of money, I'm really disappointed.",6
"Best purchase ever, exceeded my expectations.",6
"The product was okay, but not worth the price.",9
"Excellent features, perfect for daily use.",6
"Poorly made, I had to return it immediately.",8
"Not as good as I expected, it has some issues.",10
"Waste of money, I'm really disappointed.",6
"Not as good as I expected, it has some issues.",10
"Excellent features, perfect for daily use.",6
"Fantastic quality, I would definitely recommend this!",7
Decent product but could be better.,6
"Not as good as I expected, it has some issues.",10
"Great product, I loved using it every day!",8
"The product was okay, but not worth the price.",9
"Best purchase ever, exceeded my expectations.",6
"The product was okay, but not worth the price.",9
"Poorly made, I had to return it immediately.",8
"The product was okay, but not worth the price.",9
"Great product, I loved using it every day!",8
"Not as good as I expected, it has some issues.",10
"Waste of money, I'm really disappointed.",6
"Waste of money, I'm really disappointed.",6
Decent product but could be better.,6
"Best purchase ever, exceeded my expectations.",6
"Poorly made, I had to return it immediately.",8
"Great product, I loved using it every day!",8
Decent product but could be better.,6
"Best purchase ever, exceeded my expectations.",6
"Waste of money, I'm really disappointed.",6
Decent product but could be better.,6
"Great product, I loved using it every day!",8
"Great product, I loved using it every day!",8
Decent product but could be better.,6
"Not as good as I expected, it has some issues.",10
"The product was okay, but not worth the price.",9
"The product was okay, but not worth the price.",9
"The product was okay, but not worth the price.",9
"Waste of money, I'm really disappointed.",6
"Poorly made, I had to return it immediately.",8
Decent product but could be better.,6
"Poorly made, I had to return it immediately.",8
"Best purchase ever, exceeded my expectations.",6
Decent product but could be better.,6
"Best purchase ever, exceeded my expectations.",6
"Not as good as I expected, it has some issues.",10
"Very useful and works as expected, highly satisfied.",8
"Poorly made, I had to return it immediately.",8
Decent product but could be better.,6
"Best purchase ever, exceeded my expectations.",6
"Fantastic quality, I would definitely recommend this!",7
"Great product, I loved using it every day!",8
"Best purchase ever, exceeded my expectations.",6
"Waste of money, I'm really disappointed.",6
"Not as good as I expected, it has some issues.",10
"Poorly made, I had to return it immediately.",8
Decent product but could be better.,6
"Not as good as I expected, it has some issues.",10
Decent product but could be better.,6
"Excellent features, perfect for daily use.",6
"Great product, I loved using it every day!",8
"Waste of money, I'm really disappointed.",6
"Fantastic quality, I would definitely recommend this!",7
"Poorly made, I had to return it immediately.",8
